ID,Screen / State,Screen Text (Figma),AI Voice,Expected User Response & Variations,AI Response,System Action,Partial / Ambiguous / Edge Cases,Notes,MP3?,How Audio Works
ADV-02,Organized habits,"""We organized this for you""
""Here is the cleanest place to start based on what you shared.""

Habit cards with schedules
""Add other habit"" (+)
Button: ""Confirm & Continue""
""Regenerate from scratch""","""Here's what I put together from what you told me. Take a look - you can edit anything, or if it's way off, I'll start fresh.""","APPROVE: ""Looks perfect"" / ""Good"" / ""Yes""

EDIT: ""Move gym to mornings"" / ""Change [habit] to [detail]""

REJECT: ""That's not right"" / ""Start over"" / ""That's not what I meant""

ADD: ""I forgot one - add [habit]"" / ""Another habit"" / ""I want to add another one"" / ""One more""","APPROVE: ""Great. Locked in. Let's set up your journal.""

EDIT: ""Done - [change made]. Everything else look right?""

REJECT: ""Let me try again. Can you tell me more specifically what you're looking for? What did I get wrong?""

ADD (with name): ""Sure - [habit]. What time, how often, and want a reminder?"" -> collect remaining pieces -> add to list

ADD (no name): ""Sure - what habit would you like to add?"" -> collect all 4 pieces -> add to list","1. Display LLM-generated habits
2. Edit: parse change, update state
3. Add: mini habit flow (name, time, freq, reminder)
4. Regenerate: re-send to LLM with feedback
5. Confirm: save all to Supabase habits table
6. Navigate to ADV-03
7. Log PostHog: confirm_ai_habits {count, edits, regenerated}","AI generated weird/wrong habit:
User: ""That's not what I meant at all.""
AI: ""Sorry about that. Let me try again. Can you tell me which ones are wrong and what they should be?""

If regeneration also fails:
AI: ""Let's do this differently. Tell me one habit at a time and I'll add them exactly as you say."" -> manual one-by-one mode

User wants to remove a generated habit:
AI: ""Removed. Anything else?""",Regenerate should not start from scratch blindly - include user's feedback about what was wrong.,yes,"prompt: pre-recorded
responses: real-time"
Steps 3-4: Journal Setup (same as beginner),,,,,,,,,,
ADV-03,"Journal setup
(Same flow as ONBOARD-08)",Same as ONBOARD-08 - Meet your AI Voice Journal / How do you want to journal?,Same AI voice as ONBOARD-08,Same expected responses,Same AI responses,"Same system actions
Then navigate to ADV-04",Same edge cases,See ONBOARD-08 for full detail.,yes,"prompt: pre-recorded
responses: real-time"
Step 5: Final Plan,,,,,,,,,,
ADV-04,"Starting plan
(Advanced final)","""Your starting plan""
""Start with these habits. You can always add more later.""

HABIT list with cadences
JOURNAL if configured

Button: ""Start plan"" / ""Edit habits""","""Here's everything - your habits, your journal. This is your system now.

And I want you to know - as one of the first 50 people using Guided Growth, what we've built here is already something we're proud of. But it's going to get so much better. You being here, your feedback - that's what makes it better. And our whole purpose is to contribute to your life.

I'll be here every morning and every evening. Ready?""",Same as ONBOARD-09,Same as ONBOARD-09,Same as ONBOARD-09 but path = 'advanced',Same as ONBOARD-09,'This is your system now' - ownership transfer.,no,real-time
6. HOME SCREEN,,,,,,,,,,
Home Screen States,,,,,,,,,,
HOME-FIRST,"Home
First visit after onboarding","[Day, Date]
""Good Morning, [Name]"" (+)

Week selector
How are you feeling? / Check In
Daily Reflection / Open Journal

Today's Habits
Give Feedback
Bottom nav","""Here's your home. This is where you'll check in every day. Would you like me to explain the different parts?""","YES: ""Yeah"" / ""Sure"" / ""Yes please""
NO: ""No, I got it"" / ""I'll figure it out"" / ""I'm good""","YES: ""OK. At the top you'll see your check-in - that's where you report how you're feeling each morning. Below that are your habits for today. You can tap the checkmark when you complete one, or tell me about it during your evening check-in. The mic button in the center is where you can talk to me anytime. And that's really it. Simple.""

NO: ""Got it. If you ever want a walkthrough, just ask. Your first morning check-in is ready whenever you are.""","1. Detect: onboarding_completed_at within last 5 minutes
2. Play first-visit voice
3. Render today's habits from Supabase
4. Calculate greeting by time
5. Log PostHog: first_home_visit {explanation_requested}","If user taps mic instead: route to VOICE-01
If user goes straight to a habit: skip explanation",Special one-time moment. Only plays once.,yes,"prompt: pre-recorded
responses: real-time"
HOME-MORNING,"Home
Morning (before check-in)","[Day, Date]
""Good Morning, [Name]""

[Standard home layout]","[No auto-play voice. User initiates.]

[If mic tapped and morning check-in not done:] Directly route to MCHECK-01. AI says: ""Morning, [Name]."" then starts check-in.

[If mic tapped and check-in done:] ""You've already checked in today. What's on your mind?"" -> voice conversation",Tap: Check In / Mic / Any habit / Journal / Give Feedback / Nav item,"If mic: route to check-in or voice conversation
If Check In tapped: open check-in screen","1. Greeting by time: before 12 = Morning, 12-17 = Afternoon, after 17 = Evening
2. Show today's habits by day of week
3. Show completion status","Check-in already done: mic -> voice conversation
Afternoon, check-in not done: no nagging

User says ""add a habit"" / ""another habit"": AI asks ""What habit would you like to add?"" then collect name, time, frequency, reminder.",Home is calm. No auto-play.,no,real-time
HOME-EVENING,"Home
Evening (before check-in)","""Good Evening, [Name]""

[Standard home layout with completion status]","[No auto-play.]

[If mic tapped and evening check-in not done:] Directly route to ECHECK-01. AI says: ""Hey [Name]."" then starts evening check-in flow.

[If mic tapped and evening check-in already done:] ""You've already wrapped up today. Anything on your mind?"" -> voice conversation",Same tap options as morning,If mic: route to evening check-in flow,"1. Show habit completion status (some may be checked off already)
2. Evening greeting
3. If evening check-in not done: evening reminder may trigger","If all habits already marked complete:
Mic -> ""Looks like you've already logged everything. Anything else on your mind?""

User says ""add a habit"" / ""another habit"":
AI: ""Sure - what habit would you like to add?""
Same collection flow as ONBOARD-06.","Evening tone is warmer, reflective.",no,real-time
HOME-RETURN,"Home
Returning after 3+ days",Standard home layout,"[Auto-plays on first open after 3+ days of inactivity]

""Hey [Name]. It's been a few days. No judgment - life happens. Want to pick up where you left off?""","Voice: ""Yeah"" / ""Let's go""

Silence/tap: User just starts using the app","If yes: ""Good to have you back. Your habits are right here. Let's start fresh today.""

If they just start tapping: no follow-up needed","1. Check last_active_date
2. If gap >= 3 days: play return greeting
3. Reset any stale daily data
4. Set returning_user flag for PostHog
5. Log: user_return {days_inactive}","Don't guilt. Don't ask why they were gone. Just welcome back.

If gap is 7+ days: ""Hey [Name]. Welcome back. Everything's here just like you left it. Whenever you're ready.""",No judgment. Life happens.,no,real-time
HOME-DAY2,"Home
Day 2 (special moment)",Standard home layout,"[Auto-plays on second day opening the app]

""Day two. You came back. That's the hardest step after the first one. Let's keep it going.""",No response needed - just a moment,-,"1. Check: if user.created_at was yesterday AND this is first open today
2. Play Day 2 voice
3. Set day2_shown = true
4. Log PostHog: day_2_moment","Only triggers once. If they open 3 times on day 2, only plays first time.

If they skipped a day (signed up Monday, first return Wednesday): different message - see HOME-RETURN",Day 2 is statistically where most people drop off. This moment matters.,yes,pre-recorded
7. MORNING CHECK-IN,,,,,,,,,,
Check-in Flow,,,,,,,,,,
MCHECK-01,"Morning check-in
Emoji scales","""How are you feeling?"" (expandable)

Sleep Quality: Poor/Fair/Good/Great/Deep!
Mood: Awful/Bad/Meh/Good/Awesome!
Energy Level: Drained/Low/Medium/Active/Charged
Stress Level: Extreme/High/Moderate/Light/Relaxed

Button: ""Check In""","[Triggered by morning reminder]

""Morning, [Name]. Quick check-in - sleep, mood, energy, stress. Just tap or tell me.""","VOICE (all): ""Slept great, mood's good, energy high, no stress.""
VOICE (partial): ""Slept OK"" / ""I'm tired""
TAP: Select emojis -> Check In

VARIATIONS:
""Great""/""Good""/""OK""/""Bad""/""Terrible"" = map to scale
""Exhausted"" = Energy: Drained
""Anxious"" = Stress: High
""Fine"" = ambiguous","ALL CLEAR: [Brief ack - varies by coaching style]
ALL NEGATIVE: ""Tough start. That's real. Let's see how the day unfolds - sometimes it shifts.""
MIXED: ""Sleep was rough but energy's up - interesting. Let's work with what you've got.""","1. Parse voice: map to 5-point scales
2. If tapped: save directly
3. Save to Supabase checkins {user_id, type: 'morning', date, sleep, mood, energy, stress}
4. Transition to MCHECK-02
5. Log PostHog: complete_checkin {type: 'morning', input_method, values}","PARTIAL (1-2 only): ""Got it - [what they said]. And how about [remaining]? You can just tap the rest.""
AMBIGUOUS (""I'm fine""): ""Fine as in good, or fine as in just getting by?""
ALL NEGATIVE: AI does NOT try to fix. Acknowledges, moves forward.
""I don't want to do this today"": ""That's OK. You can skip. I'll be here tomorrow."" -> close
""I'm tired"": ""Tired as in low energy, or didn't sleep well? Or both?""

TAP + VOICE MIX:
User fills some scales via tap, then taps 'Check In' before completing all:
System saves what's filled. Unfilled scales are skipped for today.
AI acknowledges what it got: ""Got it - [filled scales]. Have a good one, [Name].""
Don't force them to complete all 4. Any data is better than no check-in.",Between 30 seconds and a couple of minutes total. Keep it moving.,no,real-time
MCHECK-02,"Morning goal
(voice only)","[No screen element - voice only, after emojis submitted]","[After check-in submitted]

""Anything specific you want to make happen today? A goal we can check back on tonight?""","GOAL: ""Hit the gym"" / ""Finish my proposal"" / ""Get to bed by 11""
NO GOAL: ""No"" / ""Nah"" / ""I'm good"" / ""Not today""
VAGUE: ""Have a good day"" / ""Be productive""","GOAL SET: ""Got it - [goal]. I'll ask you about it tonight.""
NO GOAL: ""All good. Have a great day, [Name].""
VAGUE: ""Is there anything specific you could check off by tonight?"" If still vague: ""No problem. Talk tonight.""","1. If goal: save to Supabase daily_goals {user_id, date, goal_text, status: 'pending'}
2. Store for evening reference
3. Return to Home
4. Log PostHog: morning_goal {has_goal, goal_text_length}","Multiple goals: ""Let's focus on one. Which is most important?""
Goal matches existing habit: ""That's already one of your habits today. Anything else beyond your regular habits?""
Emotional goal: treat same as any goal.",Voice only. Not a text field.,yes,pre-recorded
8. EVENING CHECK-IN,,,,,,,,,,
Evening Flow,,,,,,,,,,
ECHECK-01,"Evening check-in
Opening + method choice",[Uses Home screen with habit completion status],"[Triggered by evening reminder]

""Hey [Name] - let's wrap up your day. Would you like to go through your habits yourself, or want me to read them off?""","SELF-REPORT: ""I'll do it"" / ""I'll report"" / ""Let me tell you""
AI-READ: ""Read them"" / ""You go"" / ""Go through them""
JUST TAPPING: User taps complete/skip without voice","SELF-REPORT: ""Go ahead - tell me how today went.""
AI-READ: ""OK. Let's go through them. [First habit] - did you do it?""","1. Fetch today's habits
2. Fetch morning goal if exists
3. Determine method
4. Navigate to ECHECK-02 or ECHECK-03","Just tapping without voice: let them. Voice summarizes at end (ECHECK-06).
User says something else: ""Want to go through your habits first, or is something on your mind?""

Evening wrap-up (ECHECK-06) plays regardless of method.",User chooses method. Both equally valid.,no,real-time
ECHECK-02,"Self-report
User reports habits",[Habit list with complete/skip/miss buttons],"""Go ahead - tell me how today went.""","FULL: ""Did mindfulness, hydration, skipped reading, went for a walk.""
PARTIAL: ""I did most of them"" / ""Only got two done""
BY NAME: ""I did gym and meditation but skipped everything else""
SHORT: ""Good day"" / ""Not great""
ALL DONE: ""I did everything"" / ""All of them""","CLEAR: ""Got it - [summary]. [Positive comment if warranted].""
PARTIAL: ""OK - which ones specifically?""
GOOD DAY: ""Let me mark those. [Confirm list]""
NOT GREAT: ""That's OK. Which ones did you get to?""
ALL DONE: ""All [X] habits done? Nice. Let me mark them all complete.""","1. Parse voice: match habit names to status
2. Update Supabase habit_completions
3. After all accounted for: transition to ECHECK-04 or ECHECK-05
4. Log PostHog: evening_habit_report {method: 'self_report', completed, skipped, missed}","Can't match name: ""I'm not sure which habit you mean. Can you say the full name?""
Habit not on today's list: ""[Habit] isn't scheduled for today. Want to log it anyway?""
User emotional about missing: ""Tomorrow's a fresh start. Let's keep going.""","NLP must handle synonyms: gym=workout=exercise, reading=read=book, etc.",no,real-time
ECHECK-03,"AI-read
Coach goes through list",[Same screen],"""OK. Let's go through them.

[Habit 1 name] - did you do it?""
[Habit 2:] ""How about [habit name]?""
[Habit 3:] ""And [habit name]?""
[Last habit:] ""Last one - [habit name]?""

[Vary phrasing to avoid robotic repetition]","PER HABIT:
""Yes"" / ""Yeah"" / ""Did it"" / ""Checked""
""No"" / ""Skipped it"" / ""Didn't get to it""
""Sort of"" / ""Half"" / ""Started but didn't finish""","COMPLETED: ""Nice."" or ""Got it."" [move to next]

SKIPPED: ""OK."" [move to next - no guilt]

SORT OF: ""I'll mark that as done. Every bit counts.""

[After last habit:] ""That's all of them. [Summary].""

[Beat/pause before goal check or reflection:]
If goal exists: ""One more thing..."" then transition to ECHECK-04
If no goal but reflection configured: ""Now let's do your reflection."" -> ECHECK-05
If neither: go straight to ECHECK-06 wrap-up","1. Iterate through today's habits one by one
2. Wait for response after each
3. Save status per response
4. After all: summarize and transition to ECHECK-04/05","User interrupts: ""Actually I did [habit 3] too"" mid-list
AI: ""Got it - marking that done. OK, next - [continue list]""

User wants to speed up: ""I did 1, 2, and 4, skipped 3""
AI: ""Got it all. [Summary]."" Don't force one-by-one if they gave everything.","Pace should be conversational, not robotic.",no,real-time
ECHECK-04,"Goal check
(only if morning goal set)",[No screen element - voice only],"[Only if daily_goals exists for today]

""You said this morning you wanted to [goal_text]. How'd that go?""","ACHIEVED: ""I did it"" / ""Yeah!"" / ""Nailed it"" / ""Got it done""

MISSED: ""No"" / ""Didn't happen"" / ""Not today""

PARTIAL: ""Sort of"" / ""I started it"" / ""Got halfway""","ACHIEVED: ""You said you wanted to [goal] and you did. That's you following through.""

MISSED: ""No stress. Tomorrow's a fresh one.""

PARTIAL: ""Progress counts. You moved it forward.""","1. Update daily_goals.status = achieved/missed/partial
2. Transition to ECHECK-05 if reflection configured
3. Otherwise: ECHECK-06 (wrap up)","Emotional response (""I'm so proud of myself""):
AI: ""You should be. That was all you.""

Excuse-heavy response:
AI does NOT validate excuses or push back. Just acknowledges and moves on.",Evening goal reference = the payoff of the morning goal question.,no,real-time
ECHECK-05,"Daily reflection
(if configured)",[Journal prompts displayed one at a time],"""Now let's do your reflection. What are you proud of today?""","Answers to each prompt - open-ended, emotional, personal.

Some people will give short answers: ""Nothing"" / ""I don't know""

Some will give long answers.","[After each answer - brief, meaningful]

Prompt 1 answer: ""[Brief reflection]. Next - what do you forgive yourself for today?""

Prompt 2 answer: ""[Brief reflection]. Last one - what are you grateful for?""

Prompt 3 answer: ""Thank you for sharing that. See you tomorrow morning, [Name].""","1. Save each response to Supabase journal_entries {user_id, date, prompt, response, input_method}
2. After all prompts: transition to ECHECK-06
3. Log PostHog: journal_entry {prompt_count, total_length, input_method}","""Nothing"" / ""I don't know"":
AI: ""That's OK. Sometimes nothing comes to mind. We can move to the next one."" Do NOT push.

User gets emotional:
AI: Brief acknowledgment. ""That sounds like it matters a lot."" Do NOT therapize.

User wants to skip reflection tonight:
""No problem. We'll do it next time."" -> skip to wrap up",AI responses to reflections should be brief - 1 sentence. Don't steal the moment.,no,real-time
ECHECK-06,Evening wrap-up,[Return to home screen],"[Summarize the evening]

""[X] out of [Y] habits today. [Brief comment]. See you tomorrow morning, [Name].""",-,"ALL COMPLETE: ""All habits done today. That's a full day. Rest well.""

 MOST DONE: ""Three out of four - solid day. Rest well, [Name].""

FEW DONE: ""One out of four today. Some days are like that. Tomorrow's fresh.""

NONE DONE: ""Sometimes the day doesn't go as planned. That's OK. Tomorrow we start again. Sleep well, [Name].""","1. Calculate daily completion rate
2. Update streak data
3. Return to Home
4. Log PostHog: evening_complete {habits_completed, habits_total, had_goal, goal_status, reflection_done}","NONE done + bad mood from morning:
AI does NOT pile on. Keep it gentle. ""Rest well tonight. Tomorrow's a new start.""

Perfect day + good mood:
""Clean sweep today. You earned a good night's rest.""","Last voice they hear before bed. Warm, brief, forward-looking.",no,real-time
9. VOICE CONVERSATION (Anytime),,,,,,,,,,
VOICE-01,"Voice conversation
Mic tap from any screen","[Listening animation]
[Transcription]
[AI response]
[Optional habit cards]","[On mic tap from any screen]
""What's on your mind?""","HABIT CREATION: ""I want to start meditating"" / ""Add a new habit"" / ""I want to add another habit"" / ""Another habit"" / ""One more habit"" / ""Can I add a habit?""

HABIT EDIT: ""Change my gym time to mornings""

COACHING: ""I've been stressed"" / ""I'm not motivated""

QUESTION: ""How many habits have I completed this week?""

VENTING: ""Today was awful"" / long emotional share

CHECK-IN: ""Let me do my check-in"" -> route to check-in

GENERAL: ""What can you do?"" / ""Help""","[AI generates response based on intent + coaching style]

HABIT (with name): ""[habit] - great idea. Let me set that up. What time, how often, and want a reminder?""

HABIT (no name, e.g. 'add another habit' / 'another habit' / 'one more'): ""Sure - what habit would you like to add?""
Then once they give the name: ""Got it - [habit]. What time, how often, and want a reminder?""

EDIT: ""Done - [change made].""

STRESS: ""That sounds heavy. What's the main thing weighing on you?""

VENTING: ""I hear you. [Brief acknowledgment - do NOT try to fix].""

QUESTION: ""[Answer from data].""

HELP / WHAT CAN YOU DO: ""I can help you add or change habits, talk through how your day's going, answer questions about your progress, or just listen. What do you need?""","1. Capture voice via STT
2. Send to LLM with context (habits, recent check-ins, goals, coaching style)
3. LLM determines intent
4. Route by intent: habit CRUD, coaching, data query, general
5. Increment daily_voice_count
6. If count >= 5: see VOICE-CAP
7. Log PostHog: voice_conversation {intent, duration, actions_taken}","CHECK-INS DO NOT COUNT toward voice conversation cap.

CONTEXT-AWARE: If mic tapped from habit detail screen, AI knows which habit: ""Want to talk about [habit name]?""

From focus session: ""Taking a break from your focus session?""

From insights: ""Questions about your data?""

MENTAL HEALTH BOUNDARY:
If user says something concerning (self-harm, crisis):
AI: ""I hear you, and I want you to know that what you're feeling matters. I'm an AI coach and I'm not equipped to help with this the way you deserve. Please reach out to [crisis resource] or talk to someone you trust.""
Do NOT continue coaching. Do NOT minimize.","Context changes based on which screen mic was tapped from.

Cap is silent - no counter shown.

CRITICAL: Mental health boundary response. If user expresses self-harm, suicidal thoughts, or crisis: stop coaching, express care, provide 988 Suicide & Crisis Lifeline (call/text 988). Do NOT continue normal conversation.",no,real-time
VOICE-CAP,"Usage cap reached
(5 conversations/day)",[Normal mic animation then message],"""You've used your voice sessions for today. I'll be here tomorrow. In the meantime, you can still do your check-ins and log habits on screen.""","User might try again: same message.
User might ask why: same message.",-,"1. Check daily_voice_count >= 5 (excluding check-ins)
2. Show gentle message
3. Disable mic for conversations (keep for check-ins)
4. Reset at midnight user's timezone","Check-ins NEVER count.
Focus start/end don't count.
Habit edit via voice doesn't count.
Only open-ended conversations count.",Silent cap. No counter shown.,yes,pre-recorded
10. HABIT DETAIL / EDIT / DELETE,,,,,,,,,,
HABIT-01,Habit detail view,"""[Habit Name]"" header
Streak calendar
Completion %, current streak, longest streak
Progress text
""Log Habit Reflection""
Milestones","[Voice on milestones only]
3 days: ""Building momentum.""
7 days: ""One week, [Name]. Seven days straight. That's not luck - that's you.""
14 days: ""Two weeks. The resistance is fading.""
30 days: ""30 days. This started as something you were trying. Now it's something you do. That's a real shift.""
60 days: ""Two months. This is just what you do now.""
90 days: ""90 days. Quarter of a year. This habit is part of who you are.""
100 days: ""Triple digits. One hundred days of showing up.""
365 days: ""One year. I don't even need to say anything. You know what this means.""

[On mic tap:] ""Want to talk about [habit name]?""","Tap: Log Reflection / Edit / Share
Mic: Voice about this habit

Voice: ""How am I doing?"" / ""Tell me about my streak""","""How am I doing"": ""You're at [X]% completion with a [Y]-day streak. Your longest was [Z] days. [Brief coaching comment].""

""Tell me about my streak"": Same data, natural language.","1. Fetch habit data from Supabase
2. Check milestone triggers: if streak IN [3,7,14,30,60,90,100,365] AND not yet shown
3. Play milestone voice, set shown = true
4. Log PostHog: view_habit_detail {habit, streak, completion_rate}","BROKEN STREAK:
[If streak was 7+ and just broke:]
""Your streak reset. But [X] days of consistency doesn't disappear because of one day. Start again - you already know you can do it.""

[If streak was 30+ and broke:]
""[X] days. That streak was real. One missed day doesn't erase what you built. Pick it back up whenever you're ready.""",Milestones escalate emotionally. 365 is almost silent - the number speaks.,no,real-time
HABIT-02,Edit habit,"""Edit Habit"" header (trash icon)
HABIT NAME / WHEN / HOW OFTEN
""Edit with Voice"" card
Button: ""Save Changes""","[If voice edit:] ""What do you want to change about this habit?""","""Change the time to 10 PM""
""Make it weekdays only""
""Change the name to [new name]""
""Turn off reminders""
""Turn on reminders at [time]""","""Updated [change]. All good?""

""Reminders turned off. You can always turn them back on in Settings or here.""","1. Parse change: {field, new_value}
2. Update UI + Supabase
3. Update/cancel push notifications if reminder changed
4. Log PostHog: edit_habit {fields_changed, input_method}","Multiple changes: handle one at a time.
""Change time to 10 and make it weekdays"": ""Updated to 10 PM, weekdays only. Anything else?""",'Edit with Voice' card teaches voice-first behavior.,yes,"prompt: pre-recorded
responses: real-time"
HABIT-03,Delete habit,"""Delete Habit?""
""Are you sure you want to delete this habit? This action cannot be undone.""

Button (red): ""Delete Habit""
Button (outline): ""Keep Habit""","""Are you sure? You had a [X]-day streak. No judgment either way - sometimes it's the right call to refocus.""","DELETE: ""Yes"" / ""Delete it"" / Tap Delete Habit
KEEP: ""No"" / ""Keep it"" / ""Never mind"" / Tap Keep Habit","DELETE: ""Done. If you ever want it back, just ask.""
KEEP: ""Keeping it. Good call.""","1. Soft-delete: status = 'deleted', deleted_at = now()
2. Cancel scheduled reminders
3. Navigate to Home
4. Log PostHog: delete_habit {habit_name, lifetime_days, total_completions, completion_rate}","No streak mentioned if streak is 0.
If streak is very long (30+): ""That's a [X]-day streak you'd be ending. Sure about this?""

User hesitates: ""Take your time. No rush.""",Anti-guilt design. Deletion should feel OK.,no,real-time
11. CHECK-IN REMINDERS SETUP,,,,,,,,,,
REMIND-01,Check-in reminders,"""When would you like to do your quick check-ins""
""We'll use this to optimize your smart plan.""

Tip: ""We recommend doing your check-in 15 minutes after waking up and 15 minutes before bedtime.""

Morning check in - 07:00 AM - REMINDER toggle
Night check in - 10:30 PM - REMINDER toggle

Button: ""Save Reminders""","""When do you want to check in with me? I recommend about 15 minutes after you wake up and 15 before bed. What times work?""","FULL: ""7 AM and 10:30 PM""
""Morning at 7, evening at 10""

PARTIAL: ""7 AM"" (missing evening)
""Before bed"" (vague)

OR Tap: Set times -> Save","FULL: ""Set - [morning] and [evening]. I'll be here.""

MISSING EVENING: ""Got it - [morning]. And what time for the evening?""

""Before bed"": ""What time is bedtime for you?""","1. Parse times from voice
2. Save to user_profile {morning_checkin_time, evening_checkin_time}
3. Schedule push notifications (Supabase Edge Function)
4. Navigate to Home
5. Log PostHog: save_reminders {morning, evening}","User says times that don't make sense (evening at 6 AM):
""Just checking - you want your evening check-in at 6 AM? Or did you mean 6 PM?""

User doesn't want reminders:
""No problem. You can always do check-ins whenever you open the app. No reminders needed.""",'I'll be here' - a promise.,yes,"prompt: pre-recorded
responses: real-time"
12. FOCUS SESSION,,,,,,,,,,
FOCUS-01,"Focus session
Setup + timer","""Focus Session"" header
Habit dropdown
Timer: 25:00
Play/Stop
Tip: ""Tap mic to set time""

""Set Your Focus Session""
SELECT HABIT list
DURATION: H:M:S picker
""Remind Me When Finished"" toggle
Button: ""Start Focusing""","Setup: ""What are you focusing on, and how long?""

Start: ""[X] minutes of [habit]. Go.""

Complete: ""Time's up. [X] minutes of [habit] - done. How'd it go?""","Setup: ""Reading for 25 minutes"" / ""Meditation, 10 minutes""

Complete response: ""Good"" / ""Great, got through two chapters"" / ""I got distracted honestly""","Complete (positive): ""[Reflects what they said]. Logged.""

Complete (distracted): ""Some focus is better than none. Still counts.""","1. Parse: habit + duration from voice
2. Start timer, create focus_session record
3. On complete: update session, auto-complete linked habit
4. If 'Remind Me': local notification at timer end
5. Log PostHog: focus_session {habit, duration, completed}","User doesn't specify habit: ""Which habit are you focusing on?""

User doesn't specify time: ""How long do you want to go?""

""Just 5 minutes"": ""5 minutes works. Go."" - don't question short durations.

MIC DURING ACTIVE SESSION:
AI: ""You're in a focus session with [X] minutes left. Want to end it, or keep going?""
If end: stop timer, log partial session, ""[X] minutes completed. Still counts.""
If keep going: ""OK. Focus."" -> resume timer",'Go.' - one word. Ritual.,no,real-time
13. INSIGHTS (Phase 2 - Copy Ready),,,,,,,,,,
INSIGHT-01,Weekly/Monthly insights,"Insights header
Week/Month tabs
Completion chart
Habit Performance
Mood Correlations

Monthly: entries by date with tags","[Optional narration - only with 3+ data points]

Weekly: ""This week you completed [X]% of your habits. [If pattern exists: insight].""

Monthly: ""[Month] at a glance. [If pattern: insight].""

[On mic tap:] ""Questions about your data?""","Mic: ""How did I do this week?"" / ""What patterns do you see?"" / ""Am I improving?""",Responds with data-backed analysis. See AI Coaching Framework tab for insight rules (3+ data points required).,"1. Aggregate habit_completions + checkins for period
2. Run pattern detection (correlation > 0.5 across 3+ data points)
3. If pattern: generate insight
4. If no pattern: no narration
5. On mic: query user data and respond
6. Log PostHog: view_insights {view, insight_shown}","No data yet (first week): ""We're still collecting data. After a week or two, I'll start showing you patterns.""

Insight exists but user doesn't ask: Show on screen, narration optional (user can tap to hear).","Insights tell a STORY. AI only speaks when valuable.

NOTE: Bottom nav 'Progress' tab leads to this Insights screen. They are the same destination.",no,real-time
14. SETTINGS,,,,,,,,,,
SETTINGS-01,Settings / Profile,"""Settings"" header
Profile photo, name, email, Edit Profile

CHECK-IN ROUTINE:
- Morning Check In: 07:00 AM
- Night Check in: 10:30 PM
- Push Notifications: toggle

PRIVACY & ACCOUNT:
- Privacy Policy
- Delete Account & Data (red)

[POST-MVP: Add AI Coaching Style selector and Voice Model selector]","[No voice on settings. Purely configuration.]

[On mic tap:] ""Want to change something in your settings? Just tell me.""","Mic: ""Change my morning check-in to 8 AM"" / ""Turn off notifications""

Tap: Edit profile, change times, toggle notifications","""Updated - [change]. You can always change it again here.""","1. On check-in time change: reschedule push notifications
2. On push toggle: enable/disable all
3. Delete Account: double confirm -> Supabase cascade delete -> sign out

[POST-MVP: coaching style reloads LLM prompt, voice model updates TTS voice_id]","Delete Account should have double confirmation: ""Are you sure? This removes all your data permanently. Type DELETE to confirm.""","MVP: Single coaching style (Warm & Thoughtful), single voice (male).
Voice model selection and coaching style selection are post-MVP features.
Settings screen in MVP shows check-in times, push notifications, profile, and privacy only.",no,real-time
15. CALENDAR / PROGRESS,,,,,,,,,,
CAL-01,Calendar view,"""March 2026"" (nav)
Toggle: Sleep/Energy/Mood/Stress
Calendar grid with color-coded dots
MOOD LEGEND
Bottom nav","[On open, optional:] ""Here's your month at a glance.""

[On mic tap:] ""Questions about your progress?""","Mic: ""How was last week?"" / ""What was my best day?"" / ""When did I feel the most stressed?""",[Data-driven responses from checkins table],"1. Fetch checkins for month
2. Map selected metric to color scale
3. On day tap: show checkin detail
4. On mic: query data and respond","No data for a month: ""No check-ins recorded for [month]. The calendar fills in as you check in.""",Visual proof of progress.,yes,"prompt: pre-recorded
responses: real-time"
16. PUSH NOTIFICATIONS,,,,,,,,,,
PUSH-01,Morning reminder,"""Good morning, [Name]. Time to check in.""
Alt: ""[Name], your morning check-in is ready."" / ""Quick check-in, [Name]?""",[Push only],Tap -> deep link /checkin?type=morning,-,"1. Scheduled daily at morning_checkin_time
2. Rotate variants via PostHog A/B
3. Deep link to morning check-in",-,Under 50 chars. Rotate.,no,push text only
PUSH-02,Evening reminder,"""Hey [Name]. Let's wrap up your day.""
Alt: ""Time to wrap up, [Name]."" / ""Your evening check-in is ready.""",[Push only],Tap -> deep link /checkin?type=evening,-,"1. Scheduled daily at evening_checkin_time
2. Deep link to evening check-in",-,Warmer tone for evening.,no,push text only
PUSH-03,Habit reminder,"""[Habit name] - now's the time, [Name].""
Alt: ""You set this one up. Time to follow through.""",[Push only],Tap -> deep link /habit/[id],-,"1. Per-habit at schedule_time if reminder_enabled
2. Deep link to habit",-,'You set this one up' - self-accountability.,no,push text only
PUSH-04,"First check-in
never done","""Your first check-in is waiting, [Name]. Takes between 10 and 30 seconds.""",[Push only],Tap -> deep link /checkin?type=morning,-,"1. Trigger: onboarding complete + 2 hours elapsed + no checkin record
2. Send once only
3. Log PostHog: first_checkin_nudge","Only send once. If they don't respond, don't nag.",Between 10 and 30 seconds - honest.,no,push text only
17. FOUNDING USER MOMENTS,,,,,,,,,,
